source,platform_id,title,brand,model_number,price_usd,list_price_usd,rating,reviews_count,position,category,image_url,product_url,availability,recent_sales,is_bestseller,unit_price,collection,delivery_free,pickup_available,features,description,extract_date,sales_volume_numeric,product_type,volume_share
amazon,B017LRCG38,"Lutron Caseta Original Smart Switch (Lutron Smart Hub Required), for LED Lights and Fans, 6 Amp, Single-Pole/3-Way, Neutral Required, PD-6ANS-WH, White",Lutron,,59.95,,4.7,2972.0,21,Light Switches,https://m.media-amazon.com/images/I/61B4sbsw3BL._AC_UL320_.jpg,https://www.amazon.com/dp/B017LRCG38,,500+ bought in past month,,59.95,,,,,,6/6/25,500,Smart,0.6246096189881324
amazon,B07X47W6LC,"BESTTEN 10 Pack Single Pole Decorator Wall Light Switch, 15A 120/277V, Paddle Light Switch, On/Off Rocker Interrupter, UL Listed, White",BESTTEN,,16.69,1.67,4.5,2922.0,23,Light Switches,https://m.media-amazon.com/images/I/71wIPjWAhYL._AC_UL320_.jpg,https://www.amazon.com/dp/B07X47W6LC,,500+ bought in past month,,1.67,,,,,,6/6/25,500,Traditional,0.6246096189881324
amazon,B09CKT5B9C,"AIDA 20 Pack Light Switch Single Pole Light Switch Square Rocker Switch Decora Switches White, 15 Amp Self-grounding Electrical Light Switches, Residential Grade, UL Listed Glossy White",AIDA Store,,34.99,,4.6,745.0,17,Light Switches,https://m.media-amazon.com/images/I/71j-icSK3uL._AC_UL320_.jpg,https://www.amazon.com/dp/B09CKT5B9C,,500+ bought in past month,,34.99,,,,,,6/6/25,500,Traditional,0.6246096189881324
amazon,B003AVLWGM,"Leviton 5634-W 15 Amp, 120/277 Volt, Decora Single-Pole, AC Combination Switch, Commercial Grade, Grounding, White",Leviton,,11.92,,4.7,2165.0,9,Light Switches,https://m.media-amazon.com/images/I/51eTmI-GK-L._AC_UL320_.jpg,https://www.amazon.com/dp/B003AVLWGM,,500+ bought in past month,,11.92,,,,,,6/6/25,500,Traditional,0.6246096189881324
amazon,B0CT3RFY6K,"Lutron Maestro LED+ Dual Dimmer and Switch | 75-Watt LED Bulbs/2.5A Fans, Single-Pole | MACL-L3S25-WH | White",Lutron,,71.38,,4.3,118.0,2,Dimmer Switches,https://m.media-amazon.com/images/I/71OAVsRl9xL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CT3RFY6K,,500+ bought in past month,,71.38,,,,,,6/6/25,500,Traditional,0.6246096189881324
amazon,B093PWTTHC,"ELEGRP Decorator Double Rocker Light Switch, Two Single Pole Electrical Paddle, 15A 120V, In-Wall On/Off, Self-Grounding, Wall Plate Included, UL Listed (1 Pack, Glossy White)",ELEGRP,,9.99,,4.6,1585.0,24,Light Switches,https://m.media-amazon.com/images/I/51WMt02B0SL._AC_UL320_.jpg,https://www.amazon.com/dp/B093PWTTHC,,500+ bought in past month,,9.99,,,,,,6/6/25,500,Traditional,0.6246096189881324
amazon,B09MW38VK7,"ELEGRP Matte White Single Pole Decorator Light Switch 15Amp, 120-277V, Paddle Rocker Replacement, On/Off Wall Switch, Self-Grounding, Residential Grade, w/Wall Plate, UL/CUL (10 Pack)",ELEGRP,,31.99,3.2,4.7,2085.0,7,Light Switches,https://m.media-amazon.com/images/I/51emkMb6fLL._AC_UL320_.jpg,https://www.amazon.com/dp/B09MW38VK7,,500+ bought in past month,,3.2,,,,,,6/6/25,500,Traditional,0.6246096189881324
amazon,B00081I0EO,"Lutron Claro On/Off Switch, 15-Amp/3-Way, CA-3PS-WH, White",Lutron,,6.98,,4.8,2133.0,20,Light Switches,https://m.media-amazon.com/images/I/515lF5mCzJL._AC_UL320_.jpg,https://www.amazon.com/dp/B00081I0EO,,500+ bought in past month,,6.98,,,,,,6/6/25,500,Traditional,0.6246096189881324
amazon,B08YMBDGZ8,"Leviton 15 Amp Decora LED Illuminated Light Wall Switch Single-Pole, White, L5611-2W",Leviton,,10.41,13.07,4.7,505.0,18,Light Switches,https://m.media-amazon.com/images/I/51VSURHZAlL._AC_UL320_.jpg,https://www.amazon.com/dp/B08YMBDGZ8,,500+ bought in past month,,13.07,,,,,,6/6/25,500,Traditional,0.6246096189881324
amazon,B08R9S8TDT,"Suraielec Wireless Remote Light Switch, No Wiring, No WiFi, 100ft RF Range, Pre-Programmed, Expandable Wireless Wall Switch and Receiver Kit, Remote Control Light Fixture for Lamp, Ceiling Light, Fan",GE,,12.99,17.99,4.2,1168.0,11,Light Switches,https://m.media-amazon.com/images/I/61IzvpVM7XL._AC_UL320_.jpg,https://www.amazon.com/dp/B08R9S8TDT,,500+ bought in past month,,17.99,,,,,,6/6/25,500,Smart,0.6246096189881324
