source,platform_id,title,brand,model_number,price_usd,list_price_usd,rating,reviews_count,position,category,image_url,product_url,availability,recent_sales,is_bestseller,unit_price,collection,delivery_free,pickup_available,features,description,extract_date
home_depot,100089939,"T100 Series 40 Amp 24-Hour Indoor Mechanical Timer with Double Pole Single Throw Switching 120 VAC, Gray",Intermatic,T103D89,79.98,,4.2486,173,47,Light Switches,https://images.thdstatic.com/productImages/c541263a-da62-441b-ba1d-b624ebf27681/svn/gray-metal-intermatic-timers-t103d89-64_1000.jpg,https://www.homedepot.com/p/Intermatic-T100-Series-40-Amp-24-Hour-Indoor-Mechanical-Timer-with-Double-Pole-Single-Throw-Switching-120-VAC-Gray-T103D89/100089939,,,FALSE,,,TRUE,TRUE,,,6/6/25
home_depot,100672879,"Maestro Companion Multi-Location Dimmer Switch, Only for Use with Maestro LED+ Dimmer, White (MA-RR-WH)",Lutron,MA-RR-WH,23,,4.3472,216,48,Light Switches,https://images.thdstatic.com/productImages/76c3e0ff-077d-433b-ac69-99f8e44c19bd/svn/white-lutron-dimmers-ma-rr-wh-64_1000.jpg,https://www.homedepot.com/p/Lutron-Maestro-Companion-Multi-Location-Dimmer-Switch-Only-for-Use-with-Maestro-LED-Dimmer-White-MA-RR-WH-MA-RR-WH/100672879,,,FALSE,,,TRUE,TRUE,,,6/6/25
home_depot,324646573,"Decora In-Wall Humidity Sensor for Bathroom Exhaust Fan Control Switch, 1/4 HP, Residential Grade, Single Pole, White",Leviton,R02-DHS05-1LM,30.98,,4.3571,84,1,Light Switches,https://images.thdstatic.com/productImages/c42457f2-afc6-4969-ba44-4a84523ad022/svn/white-leviton-switches-r02-dhs05-1lm-64_1000.jpg,https://www.homedepot.com/p/Leviton-Decora-In-Wall-Humidity-Sensor-for-Bathroom-Exhaust-Fan-Control-Switch-1-4-HP-Residential-Grade-Single-Pole-White-R02-DHS05-1LM/324646573,,,TRUE,,,TRUE,TRUE,,,6/6/25
home_depot,310386022,1-Gang White Blank Plate Nylon Midway/Midsize Wall Plate (10-Pack) PJ13-WM,Leviton,M52-0PJ13-0WM,6.48,,4.7315,1218,2,Light Switches,https://images.thdstatic.com/productImages/29373e6d-4754-46eb-9385-fd243c4d99e2/svn/white-leviton-blank-wall-plates-m52-0pj13-0wm-64_1000.jpg,https://www.homedepot.com/p/Leviton-1-Gang-White-Blank-Plate-Nylon-Midway-Midsize-Wall-Plate-10-Pack-PJ13-WM-M52-0PJ13-0WM/310386022,,,TRUE,,,TRUE,TRUE,,,6/6/25
home_depot,100356782,1-Gang White Toggle Nylon Midway/Midsize Wall Plate (10-Pack) PJ1-WM,Leviton,M52-00PJ1-0WM,4.98,,4.7159,2091,3,Light Switches,https://images.thdstatic.com/productImages/62f81fd3-e35f-46b2-aad3-b27dbbf67bfe/svn/white-leviton-toggle-light-switch-plates-m52-00pj1-0wm-64_1000.jpg,https://www.homedepot.com/p/Leviton-1-Gang-White-Toggle-Nylon-Midway-Midsize-Wall-Plate-10-Pack-PJ1-WM-M52-00PJ1-0WM/100356782,,,TRUE,package,,TRUE,TRUE,,,6/6/25
home_depot,100016924,T100 Series 40 Amp 208-277V DPST 24 Hour Mechanical Time Switch Mechanism,Intermatic,T104MD89,75.98,,4.5657,594,4,Light Switches,https://images.thdstatic.com/productImages/5542d75e-5f2f-4634-95b5-23602b7a5058/svn/gray-intermatic-accessories-t104md89-64_1000.jpg,https://www.homedepot.com/p/Intermatic-T100-Series-40-Amp-208-277V-DPST-24-Hour-Mechanical-Time-Switch-Mechanism-T104MD89/100016924,,,TRUE,,,TRUE,TRUE,,,6/6/25
home_depot,100171587,100 Amp 240-Volt Non-Fused Emergency Power Transfer Switch (TC10323R),ABB,TC10323R,227.5,,4.7181,518,5,Light Switches,https://images.thdstatic.com/productImages/d47f44af-2dbd-47a5-8ab6-1b7cd74ea683/svn/abb-generator-transfer-switches-tc10323r-64_1000.jpg,https://www.homedepot.com/p/ABB-100-Amp-240-Volt-Non-Fused-Emergency-Power-Transfer-Switch-TC10323R-TC10323R/100171587,,,TRUE,,,TRUE,TRUE,,,6/6/25
home_depot,202353320,Homeline 2-15 Amp Single-Pole Tandem Circuit Breaker,Square D,HOMT1515CP,15.65,,4.5978,629,6,Light Switches,https://images.thdstatic.com/productImages/ff6a6b0b-80f0-439d-9979-50bc7bc28b1b/svn/square-d-circuit-breakers-homt1515cp-64_1000.jpg,https://www.homedepot.com/p/Square-D-Homeline-2-15-Amp-Single-Pole-Tandem-Circuit-Breaker-HOMT1515CP/202353320,,,FALSE,,,TRUE,TRUE,,,6/6/25
home_depot,304669863,"1-Gang Expandable Extra Duty Horizontal/Vertical Non-Metallic Weatherproof In-Use Cover (24-in-1 Configurations), Gray",Commercial Electric,WCWR1PG,10.28,,4.4462,260,7,Light Switches,https://images.thdstatic.com/productImages/1c7ace8c-62d7-4a91-bfa1-6573b66f6f76/svn/commercial-electric-weatherproof-covers-wcwr1pg-64_1000.jpg,https://www.homedepot.com/p/Commercial-Electric-1-Gang-Expandable-Extra-Duty-Horizontal-Vertical-Non-Metallic-Weatherproof-In-Use-Cover-24-in-1-Configurations-Gray-WCWR1PG/304669863,,,FALSE,,,TRUE,TRUE,,,6/6/25
home_depot,100093841,"Claro 1 Gang Wall Plate for Decorator/Rocker Switches, Gloss, White (CW-1-WH) (1-Pack)",Lutron,CW-1-WH,4.97,,4.7006,1857,8,Light Switches,https://images.thdstatic.com/productImages/a78820ea-a8e1-45c1-899a-1cfe4879add8/svn/white-lutron-rocker-light-switch-plates-cw-1-wh-64_1000.jpg,https://www.homedepot.com/p/Lutron-Claro-1-Gang-Wall-Plate-for-Decorator-Rocker-Switches-Gloss-White-CW-1-WH-1-Pack-CW-1-WH/100093841,,,FALSE,,https://www.homedepot.com/collection/Electrical/Lutron-Claro-Collection/Family-316087972?omsid=100093841,TRUE,TRUE,,,6/6/25
